,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Ligne 9,@Ligne9_RATP,2022-02-17T06:08:05.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 17, 2022",[ Incident technique] 06h55 : Une rame stationne à Porte de Montreuil en direction de Mairie de Montreuil #Ligne9 #RATP,⚠,2,,2,[],https://twitter.com/Ligne9_RATP/status/1494191904044507138
1,Ligne 9,@Ligne9_RATP,2022-02-15T15:05:58.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022",Accident Grave de Personne (Strasbourg Saint Denis) 16h05 : le trafic est perturbé sur l'ensemble de la ligne. #Ligne9 #RATP,⚠,3,2,2,[],https://twitter.com/Ligne9_RATP/status/1493602493749673985
2,Ligne 9,@Ligne9_RATP,2022-02-15T14:16:09.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022","Accident grave de voyageur, (Strasbourg Saint Denis), 15H15 le trafic est interrompu entre Havre Caumartin et Oberkampf. La reprise du trafic est estimée vers 16h00. #ligne9 #RATP",❌,2,,2,[],https://twitter.com/Ligne9_RATP/status/1493589955943317504
3,Ligne 9,@Ligne9_RATP,2022-02-15T13:28:24.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022","Accident grave de voyageur, (Strasbourg Saint Denis), le trafic est interrompu entre Havre Caumartin et Obercampf. La reprise du trafic est estimée vers 16h00. #ligne9 #RATP",❌,1,5,4,[],https://twitter.com/Ligne9_RATP/status/1493577937412579345
4,Ligne 9,@Ligne9_RATP,2022-02-15T13:22:02.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022",Accident Grave de Personne (Strasbourg Saint Denis) 14h20 : Une rame stationne en direction de de Mairie de Montreuil.  #Ligne9 #RATP,⚠,,1,1,[],https://twitter.com/Ligne9_RATP/status/1493576337767948293
5,Ligne 9,@Ligne9_RATP,2022-02-15T05:03:02.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022"," En raison d'une panne de signalisation sur Porte de Saint-Cloud, le trafic est perturbé sur l'ensemble de la #Ligne9 #RATP",⚠,3,2,4,[],https://twitter.com/Ligne9_RATP/status/1493450757894557696
6,Ligne 9,@Ligne9_RATP,2022-02-14T19:19:19.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 14, 2022","En raison d'un incident voyageur, une rame stationne à Pont de Sèvres. #Ligne9 #RATP",⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1493303862077399052
7,Ligne 9,@Ligne9_RATP,2022-02-14T12:15:33.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 14, 2022"," En raison d'une intervention sur les installations fixes, le trafic est interrompu entre Pont de Sèvres et Porte de Saint Cloud. Reprise du trafic estimée vers 13h30. #ligne9 #RATP",⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1493197218811199488
8,Ligne 9,@Ligne9_RATP,2022-02-12T18:08:24.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 12, 2022","En raison de divers incidents, le trafic est perturbé sur l'ensemble de la #Ligne9 #RATP",⚠,3,2,5,[],https://twitter.com/Ligne9_RATP/status/1492561238961885187
9,Ligne 9,@Ligne9_RATP,2022-01-16T05:32:42.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022", Incident d'exploitation 6h32- Le trafic est interrompu entre Pont de Sèvres et Porte de Saint-Cloud. Reprise estimée du trafic vers 7h00 #Ligne9 #RATP,❌,,,1,[],https://twitter.com/Ligne9_RATP/status/1482586588232175622
10,Ligne 9,@Ligne9_RATP,2022-01-15T23:38:05.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022", Incident d'exploitation 00h37- Le trafic est interrompu entre Pont de Sèvre et Porte de Saint-Cloud. Reprise estimée du trafic vers 01h00 #Ligne9 #RATP,❌,1,,6,[],https://twitter.com/Ligne9_RATP/status/1482497346407739394
11,Ligne 9,@Ligne9_RATP,2022-01-15T22:21:19.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 15, 2022", Incident d'exploitation 23h20- Le trafic est interrompu entre Pont de Sèvre et Porte de Saint-Cloud. Reprise estimée du trafic vers 23h59 #Ligne9 #RATP,❌,1,,3,[],https://twitter.com/Ligne9_RATP/status/1482478029196734467
12,Ligne 9,@Ligne9_RATP,2022-01-15T22:07:51.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 15, 2022", Incident d'exploitation 23h06- Le trafic est interrompu entre Nation et Mairie de Montreuil. Reprise estimée du trafic vers 23h40 #Ligne9 #RATP,❌,1,,2,[],https://twitter.com/Ligne9_RATP/status/1482474640102637572
13,Ligne 9,@Ligne9_RATP,2022-01-15T06:50:59.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 15, 2022",Acte de malveillance 7:49 -Le trafic est perturbé de Porte de Montreuil en direction de Pont de Sévres. #ligne9 #RATP,⚠,,,2,[],https://twitter.com/Ligne9_RATP/status/1482243899716472834
14,Ligne 9,@Ligne9_RATP,2022-01-14T22:26:06.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 14, 2022",[ Divers incidents] 23h25 - Le trafic est perturbé sur l'ensemble de la #Ligne9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1482116842479140873
15,Ligne 9,@Ligne9_RATP,2022-01-14T12:45:38.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 14, 2022",[ Intervention des équipes techniques] 13:44 - Le trafic est interrompu entre Pont de Sèvres et Porte de Saint Cloud. Reprise estimée du trafic vers 14:00 #Ligne9 #RATP,❌,2,,3,[],https://twitter.com/Ligne9_RATP/status/1481970764001730566
16,Ligne 9,@Ligne9_RATP,2022-01-10T10:27:42.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 10, 2022",[Divers incidents] 11h27 : Le trafic est perturbé en direction de Pont de Sèvres. #Ligne9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1480486499435044864
17,Ligne 9,@Ligne9_RATP,2022-01-10T07:58:25.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 10, 2022",[Bagage oublié à Pont de Sèvres] 08h58 : Le trafic est perturbé sur l'ensemble de la #Ligne9 #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1480448932404731904
18,Ligne 9,@Ligne9_RATP,2022-01-09T17:20:04.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 9, 2022","En raison d'un bagage oublié, le trafic est interrompu entre les stations Pont de Sevres et Porte de Saint-Cloud sur la #ligne9. Reprise estimée à 19h45. #RATP",❌,2,1,3,[],https://twitter.com/Ligne9_RATP/status/1480227889006137348
19,Ligne 9,@Ligne9_RATP,2022-01-09T16:27:48.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 9, 2022","En répercussion de Personnes sur les voies, le trafic est perturbé sur la #ligne9. #RATP",⚠,1,1,2,[],https://twitter.com/Ligne9_RATP/status/1480214735417233415
20,Ligne 9,@Ligne9_RATP,2022-01-08T17:55:10.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 8, 2022","en raison de Personnes sur les voies, la rame stationne à la station Strasbourg-Saint-Denis en direction de Mairie de Montreuil. #ligne9 #RATP",⚠,1,1,2,[],https://twitter.com/Ligne9_RATP/status/1479874334596517890
21,Ligne 9,@Ligne9_RATP,2022-01-08T15:11:59.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 8, 2022","En raison d'un incident technique, la rame stationne à la station Porte de Saint-Cloud en direction de Mairie de Montreuil. #ligne9 #RATP",⚠,2,,4,[],https://twitter.com/Ligne9_RATP/status/1479833268614844420
22,Ligne 9,@Ligne9_RATP,2022-01-08T14:56:00.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 8, 2022","en raison de Personnes sur les voies, la rame stationne à la station Strasbourg-Saint-Denis en direction de Mairie de Montreuil. #ligne9 #RATP",⚠,1,1,4,[],https://twitter.com/Ligne9_RATP/status/1479829243387383808
23,Ligne 9,@Ligne9_RATP,2022-01-06T18:34:07.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 6, 2022",[ Malaise voyageur] 19h33 Fin d'incident.  Le trafic est perturbé sur l’ensemble de la #Ligne9 #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1479159359305302019
24,Ligne 9,@Ligne9_RATP,2022-01-05T22:56:22.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 5, 2022","Malaise voyageur sur Strasbourg Saint Denis, 23h55, une rame stationne en direction de Mairie de Montreuil #ligne9 #ratp",⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1478862969169760258
25,Ligne 9,@Ligne9_RATP,2022-01-05T09:19:00.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 5, 2022",[  Bagage oublié] 10h18 : le trafic est interrompu entre Trocadéro et Havre-Caumartin. #Ligne9 #RATP,❌,1,2,4,[],https://twitter.com/Ligne9_RATP/status/1478657273438351361
26,Ligne 9,@Ligne9_RATP,2022-01-05T05:24:17.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 5, 2022",[ Incident d’exploitation] 06h23 : le trafic est perturbé de Pont de Sèvres vers Mairie de Montreuil #Ligne9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1478598205512331267
27,Ligne 9,@Ligne9_RATP,2022-01-02T17:30:02.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 2, 2022","en raison d'un bagage oublié, le trafic est interrompu entre les stations Oberkampf et Nation sur la #ligne9 du Métro. Reprise estimée à 19h10. #RATP",❌,2,2,4,[],https://twitter.com/Ligne9_RATP/status/1477693683315134468
28,Ligne 9,@Ligne9_RATP,2022-01-01T07:29:08.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 1, 2022",[Malaise voyageur] 08h28 : Une rame stationne à Mairie de Montreuil. #Ligne9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1477180071945412611
29,Ligne 9,@Ligne9_RATP,2022-04-08T09:12:40.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 8, 2022","En répercussion de divers incidents, le trafic est perturbé sur la #ligne9 #RATP",⚠,2,1,3,[],https://twitter.com/Ligne9_RATP/status/1512357748725456898
30,Ligne 9,@Ligne9_RATP,2022-04-08T06:09:03.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 8, 2022"," En raison d'une panne de signalisation, le trafic est perturbé sur l'ensemble de la #ligne9 #RATP",⚠,7,4,2,[],https://twitter.com/Ligne9_RATP/status/1512311542779371522
31,Ligne 9,@Ligne9_RATP,2022-04-07T18:32:58.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 7, 2022", Le trafic est perturbé sur l'ensemble de la #Ligne9 en raison de personnes sur les voies. #RATP,⚠,2,1,5,[],https://twitter.com/Ligne9_RATP/status/1512136364778786819
32,Ligne 9,@Ligne9_RATP,2022-04-06T09:55:50.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 6, 2022"," En raison d'un bagage oublié à La Muette, le trafic est perturbé en direction de Pont de Sèvre. #ligne9 #RATP",⚠,1,,4,[],https://twitter.com/Ligne9_RATP/status/1511643836447178756
33,Ligne 9,@Ligne9_RATP,2022-04-05T09:29:50.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 5, 2022","En raison de divers incidents, le trafic est perturbé sur la #ligne9 #RATP",⚠,1,,3,[],https://twitter.com/Ligne9_RATP/status/1511274906402631680
34,Ligne 9,@Ligne9_RATP,2022-04-05T08:42:33.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 5, 2022"," En raison de Personnes sur les voies, le trafic est perturbé sur la #ligne9 #RATP",⚠,2,1,3,[],https://twitter.com/Ligne9_RATP/status/1511263005597704195
35,Ligne 9,@Ligne9_RATP,2022-04-05T04:41:43.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 5, 2022","En raison d'un malaise voyageur, la rame stationne à Trocadero en direction de Mairie de Montreuil sur la #Ligne9 #RATP",⚠,5,,2,[],https://twitter.com/Ligne9_RATP/status/1511202397925871618
36,Ligne 9,@Ligne9_RATP,2022-04-01T21:23:08.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 1, 2022"," En répercussion de personnes sur les voies à Michel-Ange-Auteuil, le trafic est perturbé sur l'ensemble de la #Ligne9 #RATP",⚠,3,1,3,[],https://twitter.com/Ligne9_RATP/status/1510004862414737416
37,Ligne 9,@Ligne9_RATP,2022-04-01T04:53:33.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 1, 2022",[ Panne de signalisation à Mairie de Montreuil] 06h50 : le trafic est perturbé sur l'ensemble de la  ligne #Ligne9 #RATP,⚠,1,,3,[],https://twitter.com/Ligne9_RATP/status/1509755826055131202
38,Ligne 9,@Ligne9_RATP,2022-04-01T04:36:21.000Z,"Ligne 9
@Ligne9_RATP
·
Apr 1, 2022",[ Panne de signalisation à Mairie de Montreuil] 06h30 : le trafic est perturbé de Porte de Montreuil vers Mairie de Montreuil #Ligne9 #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1509751498053459969
39,Ligne 9,@Ligne9_RATP,2022-03-31T18:51:52.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 31, 2022", Une rame stationne à Richelieu-Drouot en direction de Pont de Sèvres. #ligne9 #ratp,⚠,1,,3,[],https://twitter.com/Ligne9_RATP/status/1509604409239650305
40,Ligne 9,@Ligne9_RATP,2022-03-31T16:49:56.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 31, 2022", En raison d'une panne de signalisation le trafic est perturbé sur la #Ligne9 #RATP,⚠,3,3,,[],https://twitter.com/Ligne9_RATP/status/1509573721144635397
41,Ligne 9,@Ligne9_RATP,2022-03-31T16:16:36.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 31, 2022",18h15  En raison d'une panne de signalisation le trafic est perturbé sur la #Ligne9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1509565334772191234
42,Ligne 9,@Ligne9_RATP,2022-03-31T09:34:22.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 31, 2022",[ Incident technique] 11h30 : le trafic est perturbé de Strasbourg-Saint-Denis vers Pont de Sèvres.  #Ligne9 #RATP,⚠,1,,,[],https://twitter.com/Ligne9_RATP/status/1509464106990026755
43,Ligne 9,@Ligne9_RATP,2022-03-30T03:27:54.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 30, 2022","En raison d'une fin tardive de chantier, le trafic est perturbé sur l'ensemble de la #ligne9. #RATP",⚠,3,,2,[],https://twitter.com/Ligne9_RATP/status/1509009494361182211
44,Ligne 9,@Ligne9_RATP,2022-03-29T20:29:17.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 29, 2022","Le trafic est interrompu entre Chaussée d'Antin et République en raison de personnes sur les voies à Bonne Nouvelle, la reprise est estimée vers 22h40 #Ligne9 #RATP",❌,1,1,3,[],https://twitter.com/Ligne9_RATP/status/1508904146820386824
45,Ligne 9,@Ligne9_RATP,2022-03-29T03:31:27.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 29, 2022", Fin tardive de chantier. Le trafic est perturbé sur l'ensemble de la #ligne9 #ratp,⚠,4,,2,[],https://twitter.com/Ligne9_RATP/status/1508648001643986947
46,Ligne 9,@Ligne9_RATP,2022-03-28T19:45:49.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 28, 2022",Le trafic est perturbé sur la ligne en répercussion de personnes sur les voies à Trocadéro #Ligne9 #RATP,⚠,1,1,1,[],https://twitter.com/Ligne9_RATP/status/1508530822151872516
47,Ligne 9,@Ligne9_RATP,2022-03-28T18:11:33.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 28, 2022",Le trafic est perturbé sur la ligne en répercussion de présence de personnes sur les voies à Grands Boulevards #Ligne9 #RATP,⚠,1,1,5,[],https://twitter.com/Ligne9_RATP/status/1508507099806027783
48,Ligne 9,@Ligne9_RATP,2022-03-28T03:53:26.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 28, 2022", Fin tardive de chantier. Le trafic est perturbé de Mairie de Montreuil vers Pont de Sèvres. #LIGNE9 #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1508291146803552256
49,Ligne 9,@Ligne9_RATP,2022-03-25T15:52:59.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 25, 2022","En raison d'un bagage oublié, le trafic est interrompu entre les stations Porte de Montreuil et Mairie de Montreuil sur la #ligne9 #RATP. Reprise estimée à 17h15",❌,2,,2,[],https://twitter.com/Ligne9_RATP/status/1507385064774057985
50,Ligne 9,@Ligne9_RATP,2022-03-25T12:52:28.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 25, 2022","En raison de Personnes sur les voies, une rame stationne à Bonne Nouvelle en direction de Mairie de Montreuil #Ligne9 #RATP",⚠,1,2,2,[],https://twitter.com/Ligne9_RATP/status/1507339632618483713
51,Ligne 9,@Ligne9_RATP,2022-03-24T22:56:34.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 24, 2022"," En répercussion de divers incidents, le trafic est perturbé sur l’ensemble de la #Ligne9 #RATP",⚠,1,,4,[],https://twitter.com/Ligne9_RATP/status/1507129273571762176
52,Ligne 9,@Ligne9_RATP,2022-03-23T17:57:56.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 23, 2022",Une rame stationne à Porte de Saint-Cloud en direction de Pont de Sèvres en raison d'un incident affectant la voie #Ligne9 #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1506691732502724608
53,Ligne 9,@Ligne9_RATP,2022-03-23T17:56:09.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 23, 2022",Une rame stationne à Pont de Sèvres en raison d'un incident technique #Ligne9 #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1506691283649286148
54,Ligne 9,@Ligne9_RATP,2022-03-23T08:17:34.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 23, 2022","en raison de Personnes sur les voies, le trafic est perturbé sur la #ligne9 #RATP",⚠,1,2,2,[],https://twitter.com/Ligne9_RATP/status/1506545676502581254
55,Ligne 9,@Ligne9_RATP,2022-03-16T22:57:11.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 16, 2022",Malaise voyageur : Une rame stationne à Pont de Sèvres ne direction de Mairie de Montreuil. #LIGNE9 #ATP,⚠,1,,4,[],https://twitter.com/Ligne9_RATP/status/1504230326540947463
56,Ligne 9,@Ligne9_RATP,2022-03-14T07:46:06.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 14, 2022",[  Bagage oublié à Saint Augustin] 08h44 : le trafic est interrompu entre Franklin Roosevelt et Havre Caumartin. La reprise est estimée vers 09h30.  #Ligne9 #RATP,❌,5,6,3,[],https://twitter.com/Ligne9_RATP/status/1503276266643935232
57,Ligne 9,@Ligne9_RATP,2022-03-12T09:11:41.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 12, 2022"," En raison d'un bagage oublié, la rame stationne à la station Mairie de Montreuil en direction de Pont de Sevres. #Ligne9 #RATP",⚠,2,,1,[],https://twitter.com/Ligne9_RATP/status/1502573031461470209
58,Ligne 9,@Ligne9_RATP,2022-03-10T17:53:51.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 10, 2022"," En répercussion d’un malaise voyageur à la station Grand Boulevard, le trafic est perturbé sur l’ensemble de la #Ligne9 #RATP",⚠,3,,4,[],https://twitter.com/Ligne9_RATP/status/1501979659898077184
59,Ligne 9,@Ligne9_RATP,2022-03-10T12:50:13.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 10, 2022","En raison d'un incident affectant la voie, le trafic est interrompu entre Pont de Sèvres et Trocadéro. La reprise du trafic est estimée vers 14h00. #RATP #ligne9",❌,,,1,[],https://twitter.com/Ligne9_RATP/status/1501903248994750468
60,Ligne 9,@Ligne9_RATP,2022-03-10T11:03:15.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 10, 2022","en raison d'un incident affectant la voie, la rame stationne à la station Porte de Saint-Cloud en direction de Mairie de Montreuil. #ligne9 #RATP",⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1501876329570091017
61,Ligne 9,@Ligne9_RATP,2022-03-10T10:23:06.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 10, 2022",En répercussion d'un bagage oublié à Miromesnil le trafic est perturbé sur l'ensemble de la #ligne9. #RATP,ℹ,2,,,[],https://twitter.com/Ligne9_RATP/status/1501866228272533507
62,Ligne 9,@Ligne9_RATP,2022-03-08T16:41:30.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 8, 2022"," Une rame stationne à Saint-Philippe du Roule en direction de Mairie de Montreuil, en raison d'un malaise voyageur. #Ligne9 #RATP",⚠,4,1,3,[],https://twitter.com/Ligne9_RATP/status/1501236678970822665
63,Ligne 9,@Ligne9_RATP,2022-03-08T16:25:37.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 8, 2022"," Une rame stationne à la Porte de Saint-Cloud en direction de Mairie de Montreuil, en raison de mesures de sécurité. #Ligne9 #RATP",⚠,2,,2,[],https://twitter.com/Ligne9_RATP/status/1501232683346714624
64,Ligne 9,@Ligne9_RATP,2022-03-07T10:06:53.000Z,"Ligne 9
@Ligne9_RATP
·
Mar 7, 2022"," En raison d'une affluence exceptionnelle de voyageurs, le trafic est perturbé en direction de Pont de Sèvres. #Ligne9 #RATP",⚠,4,4,6,[],https://twitter.com/Ligne9_RATP/status/1500774980325457926
